fuel_flow,power
0.0176,203
0.0176,203
0.0176,203
0.0176,203
0.0177,204
0.0177,204
0.0177,204
0.0177,204
0.0177,204
0.0177,204.75
0.0178,205
0.0178,205
0.0178,205
0.0178,205
0.0178,205
0.0178,205.6666667
0.0178,206
0.0178,206
0.0178,206
0.0178,206
0.0178,206
0.0178,206
0.0179,207
0.0179,207
0.0179,207
0.0179,207
0.0179,207
0.0179,207
0.018,208
0.018,208
0.018,208
0.018,208
0.018,208
0.018,208
0.0181,209
0.0181,209
0.0181,209
0.0181,209
0.0181,209
0.0181,209
0.0182,210
0.0182,210
0.0182,210
0.0182,210
0.0182,210
0.0182,210
0.0182,211
0.0182,211
0.0182,211
0.0182,211
0.0182,211
0.0182,211
0.0183,212
0.0183,212
0.0183,212
0.0183,212
0.0183,212
0.0183,212
0.0184,213
0.0184,213
0.0184,213
0.0184,213
0.0184,213
0.0185,213.75
0.0185,214
0.0185,214
0.0185,214
0.0185,214
0.0185,214
0.0185,214
0.0186,215
0.0186,215
0.0186,215
0.0186,215
0.0186,215
0.0186,215
0.0186,216
0.0186,216
0.0186,216
0.0186,216
0.0186,216
0.0186,216
0.0187,217
0.0187,217
0.0187,217
0.0187,217
0.0187,217
0.0187,217
0.0188,218
0.0188,218
0.0188,218
0.0188,218
0.0188,218
0.0188,218
0.0189,219
0.0189,219
0.0189,219
0.0189,219
0.0189,219
0.0189,219
0.019,220
0.019,220
0.019,220
0.019,220
0.019,220
0.019,220.6666667
0.0191,221
0.0191,221
0.0191,221
0.0191,221
0.0191,221
0.0191,221
0.0191,222
0.0191,222
0.0191,222
0.0191,222
0.0191,222
0.0191,222
0.0192,223
0.0192,223
0.0192,223
0.0192,223
0.0192,223
0.0192,223
0.0193,224
0.0193,224
0.0193,224
0.0193,224
0.0193,224
0.0193,224
0.0194,225
0.0194,225
0.0194,225
0.0194,225
0.0194,225
0.0194,225
0.0195,226
0.0195,226
0.0195,226
0.0195,226
0.0195,226
0.0195,226
0.0195,227
0.0195,227
0.0195,227
0.0195,227
0.0195,227
0.0195,227
0.0196,228
0.0196,228
0.0196,228
0.0196,228
0.0196,228
0.0197,228.75
0.0197,229
0.0197,229
0.0197,229
0.0197,229
0.0197,229
0.0197,229.6666667
0.0198,230
0.0198,230
0.0198,230
0.0198,230
0.0198,230
0.0198,230
0.0199,231
0.0199,231
0.0199,231
0.0199,231
0.0199,231
0.0199,231
0.0199,232
0.0199,232
0.0199,232
0.0199,232
0.0199,232
0.0199,232
0.02,233
0.02,233
0.02,233
0.02,233
0.02,233
0.02,233
0.0201,234
0.0201,234
0.0201,234
0.0201,234
0.0201,234
0.0201,234
0.0202,235
0.0202,235
0.0202,235
0.0202,235
0.0202,235
0.0202,235
0.0203,236
0.0203,236
0.0203,236
0.0203,236
0.0203,236
0.0203,236
0.0203,237
0.0203,237
0.0203,237
0.0203,237
0.0203,237
0.0204,237.75
0.0204,238
0.0204,238
0.0204,238
0.0204,238
0.0204,238
0.0204,238
0.0205,239
0.0205,239
0.0205,239
0.0205,239
0.0205,239
0.0205,239
0.0206,240
0.0206,240
0.0206,240
0.0206,240
0.0206,240
0.0206,240
0.0207,241
0.0207,241
0.0207,241
0.0207,241
0.0207,241
0.0207,241
0.0207,242
0.0207,242
0.0207,242
0.0207,242
0.0207,242
0.0207,242
0.0208,243
0.0208,243
0.0208,243
0.0208,243
0.0208,243
0.0208,243
0.0209,244
0.0209,244
0.0209,244
0.0209,244
0.0209,244
0.021,244.6666667
0.021,245
0.021,245
