Qch(tons),P(kW)
6.250209751,2.388441983
6.159376289,2.346130401
6.074371026,2.311843081
5.99347118,2.277954036
5.914362444,2.248052797
5.836788174,2.225537532
5.761036866,2.199972055
5.687035395,2.164863813
5.614080133,2.135220898
5.544590607,2.113833588
5.47800076,2.091442096
5.413448991,2.060569752
5.35044695,2.034835391
5.289133189,2.016892479
5.156538543,1.968910038
4.936583785,1.875053989
4.830934649,1.832159899
4.682732649,1.780844283
4.531328366,1.726879582
4.366435363,1.666386856
4.276299316,1.633551763
4.205146214,1.606916679
4.137594454,1.581093798
4.077016432,1.557811458
4.023200561,1.537082606
3.974019824,1.518113999
3.928319282,1.500949688
3.885638957,1.479202452
3.844584716,1.461843722
3.804225094,1.450006259
3.764638545,1.431078503
3.726170977,1.415788205
