Tamb,P(kW),Qch(tons)
-4.191666667,0,0
-4.75,0,0
-5,0,0
-5.641666667,0,0
-6.45,0,0
-7.341666667,0,0
-8.091666667,0,0
-8.3,0,0
-8.3,0,0
-8.3,0,0
-8.65,0,0
-8.9,0,0
-8.55,0,0
-8.3,0,0
-8.3,0,0
-8.008333333,0,0
-7.45,0,0
-6.908333333,0,0
-6.058333333,0,0
-5.25,0,0
-4.008333333,0,0
-3.008333333,0,0
-2.45,0,0
-1.558333333,0,0
-1.1,0,0
-1.1,0,0
-1.1,0,0
-1.1,0,0
-1.45,0,0
-1.7,0,0
-1.7,0,0
-1.35,0,0
-1.1,0,0
-1.1,0,0
-0.808333333,0,0
-0.6,0,0
-0.25,0,0
0,0,0
0.35,0,0
0.891666667,0,0
1.45,0,0
2.341666667,0,0
3.091666667,0,0
3.941666667,0,0
5.391666667,0,0
4.466666667,0,0
3.65,0,0
4.541666667,0,0
4.65,0,0
4.4,0,0
4.75,0,0
6.283333333,0,0
7.2,0,0
7.2,0,0
7.2,0,0
5.566666667,0,0
4.4,0,0
4.4,0,0
4.108333333,0,0
3.9,0,0
3.55,0,0
3.008333333,0,0
3.091666667,0,0
3.3,0,0
3.65,0,0
1.975,0,0
-0.1,0,0
-0.6,0,0
-0.6,0,0
-0.891666667,0,0
-0.808333333,0,0
-0.6,0,0
-0.6,0,0
-0.891666667,0,0
-1.1,0,0
-1.45,0,0
-1.991666667,0,0
-2.2,0,0
-2.55,0,0
-3.091666667,0,0
-3.3,0,0
-3.008333333,0,0
-2.8,0,0
-2.45,0,0
-2.2,0,0
-2.2,0,0
-1.908333333,0,0
-1.35,0,0
-1.1,0,0
-1.1,0,0
-0.458333333,0,0
0.35,0,0
1.241666667,0,0
1.991666667,0,0
1.908333333,0,0
2.341666667,0,0
2.8,0,0
2.45,0,0
1.908333333,0,0
1.7,0,0
1.7,0,0
1.35,0,0
1.1,0,0
0.808333333,0,0
0.6,0,0
0.25,0,0
-0.35,0,0
-0.6,0,0
-0.891666667,0,0
-1.1,0,0
-1.1,0,0
-0.808333333,0,0
-0.6,0,0
-0.891666667,0,0
-1.1,0,0
-1.1,0,0
-0.458333333,0,0
0,0,0
0.35,0,0
0.6,0,0
0.6,0,0
2.525,0,0
4.541666667,0,0
5.991666667,0,0
5.708333333,0,0
4.65,0,0
4.108333333,0,0
2.616666667,0,0
1.058333333,0,0
0.25,0,0
-0.35,0,0
-0.891666667,0,0
-1.45,0,0
-1.991666667,0,0
-2.55,0,0
-3.091666667,0,0
-3.3,0,0
-3.3,0,0
-2.658333333,0,0
-2.2,0,0
-1.558333333,0,0
-0.808333333,0,0
-0.891666667,0,0
-0.808333333,0,0
-0.6,0,0
-0.6,0,0
-0.6,0,0
-0.891666667,0,0
-1.45,0,0
-1.7,0,0
-1.7,0,0
-1.7,0,0
-1.991666667,0,0
-2.55,0,0
-2.8,0,0
-2.8,0,0
-2.8,0,0
-2.8,0,0
-3.091666667,0,0
-3.3,0,0
-2.658333333,0,0
-2.2,0,0
-1.908333333,0,0
-0.708333333,0,0
0,0,0
0.35,0,0
0.891666667,0,0
1.1,0,0
0.808333333,0,0
0.891666667,0,0
1.45,0,0
1.7,0,0
1.991666667,0,0
2.2,0,0
2.841666667,0,0
3.65,0,0
3.9,0,0
4.191666667,0,0
4.75,0,0
5.641666667,0,0
5.808333333,0,0
5.6,0,0
4.9,0,0
4.4,0,0
5.1,0,0
6.883333333,0,0
7.8,0,0
8.441666667,0,0
9.191666667,0,0
9.4,0,0
8.758333333,0,0
7.658333333,0,0
7.55,0,0
8.091666667,0,0
7.658333333,0,0
7.2,0,0
7.2,0,0
7.2,0,0
7.2,0,0
7.841666667,0,0
7.658333333,0,0
7.55,0,0
8.441666667,0,0
9.191666667,0,0
8.758333333,0,0
8.3,0,0
8.3,0,0
8.3,0,0
8.008333333,0,0
8.091666667,0,0
8.65,0,0
8.55,0,0
8.3,0,0
8.3,0,0
8.65,0,0
9.891666667,0,0
12.175,0,0
14.93333333,0,0
15.10833333,0,0
14.10833333,0,0
13.55,0,0
13.3,0,0
13.00833333,0,0
12.15833333,0,0
11.99166667,0,0
14.475,48.53040175,135.7080687
16.1,65.102928,174.7259679
15.80833333,64.78466338,173.7516172
14.9,21.38779371,57.16830435
12.475,42.08213144,110.1733032
9.175,16.7488871,40.7033787
6.808333333,0,0
5.808333333,0,0
5.25,0,0
5,0,0
5.35,0,0
5.25,0,0
5.35,0,0
5.25,0,0
5.991666667,0,0
6.7,0,0
6.7,0,0
6.058333333,0,0
5.25,0,0
4.358333333,0,0
3.258333333,0,0
2.158333333,0,0
1.35,0,0
0.458333333,0,0
-0.35,0,0
-0.891666667,0,0
-1.1,0,0
-1.45,0,0
-1.991666667,0,0
