plf,eff
0.19101454,1.148236089
0.19101454,1.163774515
0.191030877,1.157162953
0.191047215,1.151082324
0.191047215,1.168647866
0.191063552,1.157591045
0.191063552,1.155446365
0.191079889,1.160922293
0.191079889,1.1707283
0.191079889,1.165726857
0.191096226,1.158864521
0.191096226,1.160481541
0.191096226,1.170279227
0.191112563,1.158963594
0.191112563,1.174392545
0.191128901,1.167896869
0.191128901,1.158908875
0.191145238,1.16023953
0.191177912,1.1609776
0.191177912,1.159513762
0.191177912,1.153999926
0.191226924,1.161506766
0.191226924,1.157659952
0.191226924,1.15796676
0.191226924,1.169590598
0.191292273,1.160900721
0.191292273,1.154232842
0.19130861,1.16092278
0.19130861,1.159690787
0.191341284,1.124824357
0.191357621,1.161991722
0.191357621,1.160757776
0.191357621,1.165398642
0.191357621,1.170938498
0.191373959,1.154040021
0.191373959,1.153203043
0.191390296,1.161727017
0.191488319,1.162090473
0.191504656,1.16172678
0.191520993,1.171310814
0.191553668,1.162178378
0.191586342,1.171240225
0.191635354,1.155845098
0.191651691,0.909875535
0.191668028,1.169705332
0.191668028,1.173545056
0.191684365,1.168790459
0.191684365,1.17278084
0.191700702,1.161759388
0.19171704,1.167898852
0.19171704,1.16178136
0.191733377,1.170026014
0.191749714,1.15890575
0.191749714,1.1629818
0.191766051,1.174853592
0.191782388,1.164338982
0.191896749,1.1644918
0.191896749,1.162253877
0.191962098,1.164038187
0.191994772,1.166248161
0.192011109,1.17659155
0.19212547,1.17406492
0.192174481,1.157797915
0.192207156,1.166530357
0.192272504,1.170736389
0.192305179,1.174064093
0.192419539,1.160115539
0.192484888,1.176025403
0.192582911,1.173017184
0.19264826,1.176787555
0.192664597,1.162129655
0.192664597,1.17649419
0.192680934,1.179588832
0.192827969,1.169521529
0.192860644,1.17564905
0.192876981,1.164409759
