Date/Time,Outdoor Air Temperature,Building Electric Load,Building Heating Load,Building Cooling Load,ChW Supply Temp,ChW Return Temp,HW Supply Temp,HW Return Temp,HW Mass Flow Rate (kg/s),CHW Mass Flow Rate (kg/s)
 01/09  14:00:00,1.3,1152.0,293.4,207.7,6.7,10.1,82.0,60.4,3.25,14.95
 01/09  15:00:00,1.7,1149.5,279.8,216.2,6.7,10.1,82.0,60.3,3.10,15.40
 01/09  16:00:00,1.7,1145.1,280.8,216.5,6.7,10.0,82.0,60.2,3.09,15.45
 01/09  17:00:00,0.6,897.5,342.2,204.0,6.7,10.0,82.0,60.9,3.80,14.65
 01/09  18:00:00,0.0,904.4,364.6,191.2,6.7,10.0,82.0,61.0,4.10,13.81
 01/09  19:00:00,0.0,825.5,376.2,190.1,6.7,10.0,82.0,61.1,4.27,13.73
 01/09  20:00:00,0.7,825.6,376.1,198.9,6.7,10.0,82.0,61.3,4.31,14.29
 01/09  21:00:00,0.8,820.4,375.2,202.1,6.7,10.0,82.0,61.3,4.32,14.45
 01/09  22:00:00,0.2,770.7,380.2,194.6,6.7,10.0,82.0,61.2,4.38,13.96
 01/09  23:00:00,-0.4,750.3,386.1,186.2,6.7,10.0,82.0,61.1,4.43,13.42
 01/09  24:00:00,-0.9,644.9,435.6,176.8,6.7,10.0,82.0,61.6,5.03,12.84
 01/10  01:00:00,-1.1,636.3,446.8,172.1,6.7,10.0,82.0,61.8,5.24,12.51
 01/10  02:00:00,-1.1,632.1,440.3,172.6,6.7,10.0,82.0,61.7,5.19,12.55
 01/10  03:00:00,-0.8,628.3,438.4,176.1,6.7,10.0,82.0,61.7,5.16,12.84
 01/10  04:00:00,-0.2,626.5,437.1,183.3,6.7,10.0,82.0,61.8,5.15,13.33
 01/10  05:00:00,0.0,629.8,440.6,186.3,6.7,10.0,82.0,61.9,5.21,13.49
 01/10  06:00:00,-1.1,638.9,452.3,176.7,6.7,10.0,82.0,61.7,5.35,12.79
 01/10  07:00:00,-2.4,642.2,467.3,158.0,6.7,9.9,82.0,61.6,5.50,11.55
 01/10  08:00:00,-2.8,844.4,401.5,146.2,6.7,10.1,82.0,60.7,4.64,10.54
 01/10  09:00:00,-1.7,1066.8,322.4,163.7,6.7,10.1,82.0,60.0,3.61,11.66
 01/10  10:00:00,-0.4,1111.0,287.5,187.4,6.7,9.9,82.0,60.0,3.16,13.56
 01/10  11:00:00,0.7,1112.5,268.9,200.6,6.7,10.0,82.0,60.0,2.94,14.59
 01/10  12:00:00,1.5,1112.6,255.3,211.7,6.7,10.0,82.0,60.0,2.79,15.37
 01/10  13:00:00,2.0,1072.1,237.8,219.3,6.7,10.0,82.0,59.2,2.57,15.89
 01/10  14:00:00,1.9,1113.1,229.0,219.2,6.7,10.0,82.0,58.9,2.43,15.85
 01/10  15:00:00,1.7,1116.1,224.1,215.8,6.7,10.0,82.0,58.6,2.35,15.61
 01/10  16:00:00,1.0,1116.6,233.9,209.2,6.7,10.0,82.0,58.6,2.42,15.15
 01/10  17:00:00,-0.5,871.5,299.7,168.6,6.7,10.5,82.0,60.3,3.15,11.81
 01/10  18:00:00,-2.2,883.4,334.6,177.5,6.7,9.9,82.0,60.0,3.59,12.22
 01/10  19:00:00,-3.8,806.6,364.0,146.1,6.7,9.8,82.0,59.9,3.93,10.64
 01/10  20:00:00,-4.8,807.9,379.9,127.9,6.7,9.8,82.0,59.8,4.10,9.60
 01/10  21:00:00,-5.7,811.2,402.2,114.6,6.7,9.8,82.0,59.9,4.34,8.75
 01/10  22:00:00,-5.0,766.4,407.3,119.0,6.7,9.8,82.0,60.2,4.42,9.16
 01/10  23:00:00,-4.8,752.1,412.1,123.3,6.7,9.8,82.0,60.3,4.51,9.45
 01/10  24:00:00,-5.4,653.0,459.7,115.0,6.7,9.8,82.0,60.9,5.11,8.82
 01/11  01:00:00,-4.9,643.6,459.0,119.8,6.7,9.8,82.0,61.1,5.19,9.20
 01/11  02:00:00,-3.7,634.7,456.4,133.9,6.7,9.9,82.0,61.3,5.22,10.19
 01/11  03:00:00,-3.0,628.5,451.8,144.2,6.7,9.9,82.0,61.5,5.22,10.83
 01/11  04:00:00,-2.8,620.8,442.5,147.9,6.7,9.9,82.0,61.3,5.13,11.05
 01/11  05:00:00,-3.1,619.4,451.3,144.7,6.7,9.9,82.0,61.3,5.21,10.83
 01/11  06:00:00,-3.3,632.3,460.0,141.3,6.7,9.9,82.0,61.5,5.33,10.59
 01/11  07:00:00,-3.7,635.6,461.5,138.1,6.7,9.9,82.0,61.3,5.35,10.37
 01/11  08:00:00,-3.9,839.7,405.5,130.1,6.7,10.1,82.0,60.5,4.62,9.61
 01/11  09:00:00,-3.5,1063.4,345.9,143.3,6.7,9.8,82.0,60.1,3.85,10.69
 01/11  10:00:00,-2.6,1098.8,311.5,153.9,6.7,9.9,82.0,60.0,3.42,11.59
 01/11  11:00:00,-1.5,1095.5,293.7,167.9,6.7,9.9,82.0,59.9,3.20,12.61
 01/11  12:00:00,-0.4,1092.9,277.8,183.0,6.7,9.9,82.0,59.9,3.02,13.61
 01/11  13:00:00,1.4,1048.0,255.5,207.5,6.7,10.0,82.0,59.2,2.76,15.24
 01/11  14:00:00,3.3,1091.8,228.2,234.4,6.7,10.0,82.0,57.9,2.39,16.95
 01/11  15:00:00,4.2,1091.0,216.8,249.2,6.7,10.1,82.0,57.3,2.21,17.82
 01/11  16:00:00,3.7,1083.1,221.9,245.7,6.7,10.0,82.0,57.1,2.21,17.54
 01/11  17:00:00,2.6,832.5,294.9,223.5,6.7,10.2,82.0,59.7,2.97,15.56
 01/11  18:00:00,2.2,838.6,323.4,223.7,6.7,10.0,82.0,60.5,3.40,15.85
 01/11  19:00:00,2.6,759.7,330.2,224.3,6.7,10.0,82.0,60.6,3.59,16.04
