Time (HH:MM),GHI (W/m^2),TotCld (tenths)
24:00:00,0,1
1:00,0,0
2:00,0,0
3:00,0,0
4:00,0,0
5:00,0,0
6:00,0,0
7:00,0,0
8:00,42,0
9:00,200,0
10:00,402,0
11:00,570,0
12:00,691,3
13:00,744,3
14:00,737,7
15:00,648,8
16:00,497,8
17:00,264,8
18:00,64,8
19:00,2,8
20:00,0,8
21:00,0,10
22:00,0,6
23:00,0,9
24:00:00,0,8
1:00,0,8
2:00,0,10
3:00,0,10
4:00,0,8
5:00,0,6
6:00,0,4
7:00,0,4
8:00,42,2
9:00,199,2
10:00,386,5
11:00,548,6
12:00,702,6
13:00,760,8
14:00,697,8
15:00,641,8
16:00,435,8
17:00,244,8
18:00,70,7
19:00,6,7
20:00,0,6
21:00,0,4
22:00,0,3
23:00,0,8
24:00:00,0,8
1:00,0,9
2:00,0,10
3:00,0,10
4:00,0,10
5:00,0,10
6:00,0,10
7:00,0,8
8:00,35,9
9:00,112,10
10:00,179,10
11:00,221,10
12:00,269,10
13:00,385,9
14:00,471,9
15:00,492,8
16:00,420,8
17:00,223,10
18:00,62,10
19:00,6,10
20:00,0,9
21:00,0,9
22:00,0,6
23:00,0,7
24:00:00,0,5
1:00,0,3
2:00,0,3
3:00,0,7
4:00,0,4
5:00,0,4
6:00,0,3
7:00,0,4
8:00,39,6
9:00,167,9
10:00,263,10
11:00,537,10
12:00,662,7
13:00,675,8
14:00,453,10
15:00,376,10
16:00,274,10
17:00,192,10
18:00,55,10
19:00,8,10
20:00,0,8
21:00,0,10
22:00,0,10
23:00,0,10
24:00:00,0,10
1:00,0,10
2:00,0,10
3:00,0,10
4:00,0,10
5:00,0,10
6:00,0,10
7:00,0,10
8:00,21,10
9:00,82,10
10:00,162,10
11:00,223,10
12:00,247,10
13:00,341,10
14:00,290,10
15:00,163,10
16:00,129,10
17:00,81,10
18:00,28,10
19:00,1,9
20:00,0,10
21:00,0,10
22:00,0,9
23:00,0,10
24:00:00,0,10
1:00,0,10
2:00,0,10
3:00,0,10
4:00,0,10
5:00,0,10
6:00,0,10
7:00,0,9
8:00,27,9
9:00,160,8
10:00,267,9
11:00,290,10
12:00,280,10
13:00,350,10
14:00,489,9
15:00,483,9
16:00,493,7
17:00,249,5
18:00,85,3
19:00,4,2
20:00,0,1
21:00,0,0
22:00,0,0
23:00,0,1
24:00:00,0,0
1:00,0,0
2:00,0,0
3:00,0,0
4:00,0,0
5:00,0,0
6:00,0,0
7:00,0,0
8:00,40,1
9:00,199,1
10:00,383,7
11:00,553,7
12:00,692,2
13:00,744,3
14:00,707,7
15:00,557,7
16:00,391,5
17:00,257,4
18:00,72,2
19:00,4,2
20:00,0,1
21:00,0,3
22:00,0,3
23:00,0,3
24:00:00,0,1
1:00,0,1
2:00,0,4
3:00,0,2
4:00,0,6
5:00,0,2
6:00,0,6
7:00,0,8
8:00,41,6
9:00,207,7
10:00,408,7
11:00,557,3
12:00,649,4
13:00,691,7
14:00,695,9
15:00,456,9
16:00,274,9
17:00,215,8
18:00,77,7
19:00,8,7
20:00,0,7
21:00,0,8
22:00,0,8
23:00,0,8
24:00:00,0,8
1:00,0,8
2:00,0,8
3:00,0,7
4:00,0,2
5:00,0,3
6:00,0,4
7:00,0,9
8:00,32,10
9:00,178,10
10:00,433,10
11:00,513,10
12:00,637,10
13:00,688,10
14:00,449,10
15:00,434,10
