timestamp,natural_gas_cost
2/4/2018,6.884
2/5/2018,6.884
2/5/2018,6.884
2/5/2018,6.884
2/5/2018,6.884
2/5/2018,6.884
2/5/2018,6.884
2/5/2018,6.884
2/5/2018,6.884
2/5/2018,6.884
2/5/2018,6.884
2/5/2018,6.884
2/5/2018,6.884
2/5/2018,6.884
2/5/2018,6.884
2/5/2018,6.884
2/5/2018,6.884
2/5/2018,6.884
2/5/2018,6.884
2/5/2018,6.884
2/5/2018,6.884
2/5/2018,6.884
2/5/2018,6.884
2/5/2018,6.884
2/5/2018,6.884
2/6/2018,6.884
2/6/2018,6.884
2/6/2018,6.884
2/6/2018,6.884
2/6/2018,6.884
2/6/2018,6.884
2/6/2018,6.884
2/6/2018,6.884
2/6/2018,6.884
2/6/2018,6.884
2/6/2018,6.884
2/6/2018,6.884
2/6/2018,6.884
2/6/2018,6.884
2/6/2018,6.884
2/6/2018,6.884
2/6/2018,6.884
2/6/2018,6.884
2/6/2018,6.884
2/6/2018,6.884
2/6/2018,6.884
2/6/2018,6.884
2/6/2018,6.884
2/6/2018,6.884
2/7/2018,6.884
2/7/2018,6.884
2/7/2018,6.884
2/7/2018,6.884
2/7/2018,6.884
2/7/2018,6.884
2/7/2018,6.884
2/7/2018,6.884
2/7/2018,6.884
2/7/2018,6.884
2/7/2018,6.884
2/7/2018,6.884
2/7/2018,6.884
2/7/2018,6.884
2/7/2018,6.884
2/7/2018,6.884
2/7/2018,6.884
2/7/2018,6.884
2/7/2018,6.884
2/7/2018,6.884
2/7/2018,6.884
2/7/2018,6.884
2/7/2018,6.884
2/7/2018,6.884
2/8/2018,6.884
2/8/2018,6.884
2/8/2018,6.884
2/8/2018,6.884
2/8/2018,6.884
2/8/2018,6.884
2/8/2018,6.884
2/8/2018,6.884
2/8/2018,6.884
2/8/2018,6.884
2/8/2018,6.884
2/8/2018,6.884
2/8/2018,6.884
2/8/2018,6.884
2/8/2018,6.884
2/8/2018,6.884
2/8/2018,6.884
2/8/2018,6.884
2/8/2018,6.884
2/8/2018,6.884
2/8/2018,6.884
2/8/2018,6.884
2/8/2018,6.884
2/8/2018,6.884
2/9/2018,6.884
2/9/2018,6.884
2/9/2018,6.884
2/9/2018,6.884
2/9/2018,6.884
2/9/2018,6.884
2/9/2018,6.884
2/9/2018,6.884
2/9/2018,6.884
2/9/2018,6.884
2/9/2018,6.884
2/9/2018,6.884
2/9/2018,6.884
2/9/2018,6.884
2/9/2018,6.884
2/9/2018,6.884
2/9/2018,6.884
2/9/2018,6.884
2/9/2018,6.884
2/9/2018,6.884
2/9/2018,6.884
2/9/2018,6.884
2/9/2018,6.884
2/9/2018,6.884
2/10/2018,6.884
2/10/2018,6.884
2/10/2018,6.884
2/10/2018,6.884
2/10/2018,6.884
2/10/2018,6.884
2/10/2018,6.884
2/10/2018,6.884
2/10/2018,6.884
2/10/2018,6.884
2/10/2018,6.884
2/10/2018,6.884
2/10/2018,6.884
2/10/2018,6.884
2/10/2018,6.884
2/10/2018,6.884
2/10/2018,6.884
2/10/2018,6.884
2/10/2018,6.884
2/10/2018,6.884
2/10/2018,6.884
